ID,Category,Series,Model,Name,Tsubaki_Code,Spec_pitch_mm,Spec_pitch_inch,Spec_strands,Spec_tensile_strength_kn,Spec_allowable_load_kn,Spec_weight_kg_per_m,Spec_material,Spec_temperature_range,Spec_surface_treatment,Features,Applications,Spec_lubrication,Spec_corrosion_resistance,Spec_strength_improvement,Spec_compatible_chain,Spec_tooth_count,Spec_pitch_diameter_mm,Spec_outside_diameter_mm,Spec_hub_type,Spec_hub_name,Spec_max_bore_mm,Spec_hardness,Spec_width_mm,Spec_roller_type,Spec_max_allowable_load_kn,Spec_tooth_profile,Spec_cord,Spec_max_speed_mps,Spec_reduction_ratio,Spec_input_power_kw,Spec_output_torque_nm,Spec_backlash_arcmin,Spec_efficiency_percent,Spec_rated_torque_nm,Spec_bore_range_mm,Spec_coupling_type,Spec_max_rpm,Spec_thrust_kn,Spec_stroke_mm,Spec_speed_mm_per_min,Spec_positioning_accuracy,Spec_height_mm,Spec_bend_radius_mm,Spec_material_name
TSK_0001,Drive Chain,RS Standard,RS25-1,ANSI RS25 Single Strand Roller Chain,RS25-1-G8,6.35,1/4,1.0,8.9,2.2,0.28,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0002,Drive Chain,RS Standard,RS25-2,ANSI RS25 Double Strand Roller Chain,RS25-2-G8,6.35,1/4,2.0,15.13,3.74,0.56,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0003,Drive Chain,RS Standard,RS35-1,ANSI RS35 Single Strand Roller Chain,RS35-1-G8,9.525,3/8,1.0,17.6,4.8,0.65,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0004,Drive Chain,RS Standard,RS35-2,ANSI RS35 Double Strand Roller Chain,RS35-2-G8,9.525,3/8,2.0,29.92,8.16,1.3,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0005,Drive Chain,RS Standard,RS40-1,ANSI RS40 Single Strand Roller Chain,RS40-1-G8,12.7,1/2,1.0,31.1,8.1,1.28,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0006,Drive Chain,RS Standard,RS40-2,ANSI RS40 Double Strand Roller Chain,RS40-2-G8,12.7,1/2,2.0,52.870000000000005,13.77,2.56,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0007,Drive Chain,RS Standard,RS50-1,ANSI RS50 Single Strand Roller Chain,RS50-1-G8,15.875,5/8,1.0,48.9,14.3,2.08,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0008,Drive Chain,RS Standard,RS50-2,ANSI RS50 Double Strand Roller Chain,RS50-2-G8,15.875,5/8,2.0,83.13,24.310000000000002,4.16,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0009,Drive Chain,RS Standard,RS60-1,ANSI RS60 Single Strand Roller Chain,RS60-1-G8,19.05,3/4,1.0,70.1,19.8,3.05,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0010,Drive Chain,RS Standard,RS60-2,ANSI RS60 Double Strand Roller Chain,RS60-2-G8,19.05,3/4,2.0,119.16999999999999,33.660000000000004,6.1,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
